Name,Score,Characters,Team,Total Played,Win %,Last Match
Stitchface,4585,Peach,Macomb,33,57,7/17/2017
Lamp,4583,,Macomb,24,58,6/26/2017
rodohk,4561,Marth,Ypsilanti,53,45,10/6/2017
TheChosenJuan,4548,Mario,,30,46,9/9/2017
YungBitch,4506,Sheik,Ypsilanti,126,41,10/6/2017
LemonLime,4477,,,38,57,8/18/2017
Noah,4470,,,23,69,6/29/2017
Free,4469,,,37,51,9/30/2017
Shibbypod,4462,Dr. Mario,Grand Rapids,30,46,9/9/2017
D_Lidz,4461,Falco,Macomb,196,47,10/6/2017
Tar,4442,Peach,,85,47,10/6/2017
Phaedrus,4407,Falco,Spring Lake,41,51,10/6/2017
Bosko,4385,Ice Climbers,Brighton,73,45,10/6/2017
Ceephax,4362,Falco,Macomb,108,50,9/14/2017
Childhood,4355,Fox,Macomb,30,46,9/23/2017
Bink,4345,,,16,56,7/29/2017
Skigh,4337,Samus,Flint,8,62,4/22/2017
Dimz,4320,,,11,63,9/22/2017
Grum,4302,Captain Falcon,,25,72,6/1/2017
JWinks,4291,Fox,Kalamazoo,22,40,10/6/2017
NaN,4290,Marth,Ann Arbor,46,50,6/28/2017
Lokemer,4285,,,30,56,10/13/2017
mojo,4260,Link,,29,44,10/13/2017
Osko,4254,Fox,,69,47,10/6/2017
Ros,4233,,,22,54,10/15/2017
Brazzers,4226,,,28,57,8/3/2017
Boots,4180,,,35,54,10/12/2017
L7,4167,Peach,Toledo,21,61,8/31/2017
Paper,4165,Sheik,,6,66,10/7/2017
Noshi,4159,,Sheik,33,51,10/5/2017
Starlight,4156,,,10,60,9/17/2017
Tree,4145,Sheik,,88,45,9/22/2017
JK,4137,,,6,66,9/26/2017
NotKain,4133,Fox,Toledo,11,63,10/3/2017
JoeBigs,4110,Fox,,84,45,10/13/2017
Bakinshake,4108,Fox,Jackson,178,38,10/12/2017
Aiya,4088,Marth,,86,45,10/6/2017
Scoot,4068,Captain Falcon,Macomb,72,47,9/4/2017
tketle,4048,,,46,45,10/6/2017
QBaby,4041,Fox,,161,41,10/13/2017
Havoc,4033,,,34,38,10/6/2017
Turnup_xD,3997,Peach,Brighton,99,42,10/6/2017
Starling,3991,,,32,46,9/1/2017
RockSteady,3989,,,15,60,9/30/2017
ybro,3987,,,41,51,10/11/2017
JEPR,3978,,,138,42,10/13/2017
